timestamp,x,y,z,r
2024/06/05-18:53:40.541797,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:40.636599,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.025994,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.111384,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.183947,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.239646,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.321598,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.355670,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.428639,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.542636,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.578803,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.645974,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.775771,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.839400,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.885607,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:41.977409,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:42.048369,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:42.090489,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:42.177518,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:42.249065,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:42.370388,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:42.469107,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:42.549016,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:42.597690,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:42.687928,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:42.773247,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:42.854230,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:42.947042,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:43.030797,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:43.148006,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:43.262245,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:43.322671,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:43.405924,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:43.495062,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:43.532232,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:43.577120,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:43.660130,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:43.737205,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:43.850822,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:43.962752,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.008847,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.059298,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.139488,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.183941,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.256265,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.336668,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.408754,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.528240,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.679764,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.732391,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.798534,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.887924,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:44.949472,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:45.045897,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:45.124937,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:45.179876,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:45.260001,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:45.412695,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:45.476657,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:45.560300,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:45.648082,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:45.723796,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:45.822818,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:45.902217,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:45.986763,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.101374,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.167460,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.223143,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.295796,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.376457,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.416388,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.503339,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.582754,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.624378,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.699110,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.820524,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.915300,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:46.970274,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:47.063190,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:47.138356,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:47.228980,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:47.337723,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:47.370374,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:47.455617,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:47.565243,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:47.638739,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:47.689286,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:47.781455,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:47.868376,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:47.908304,400.32,-96.77,272.65,-4.01
